sentence,context,subject,verb,verb_pos,subject_number,verb_number,verb_form,verb_person,n_intervening,n_diff_intervening,distance,split_origin
"El consumo de café en Alemania aumentó cerca del 2 por ciento en 1999 , según las estadísticas anuales de la empresa Kraft Foods de Bremen .",El consumo de café en Alemania aumentó,consumo,aumentó,6,Sing,Sing,Fin,3,1,0,5,train
"Sin embargo , a lo largo de la década de los noventa se registró un descenso que se calcula entre el 1 y el 2 por ciento .","Sin embargo , a lo largo de la década de los noventa se registró",descenso,registró,13,Sing,Sing,Fin,3,0,0,2,train
"Actualmente , los alemanes toman un promedio de 6,7 kilos de café por persona al año .","Actualmente , los alemanes toman",alemanes,toman,4,Plur,Plur,Fin,3,0,0,1,train
"Los mayores bebedores de café en Europa siguen siendo los escandinavos con cerca de 12 kilos por persona mientras que los más reservados son los portugueses con apenas 4,1 kilos por cabeza al año .",Los mayores bebedores de café en Europa siguen,bebedores,siguen,7,Plur,Plur,Fin,3,1,1,5,train
"Las pruebas recogidas por la Policía , así como informaciones de prensa , indican que fueron grupos organizados los que difundieron rumores sobre la inminente quiebra del BCR , a través de llamadas telefónicas anónimas y mensajes por correo electrónico .","Las pruebas recogidas por la Policía , así como informaciones de prensa , indican",pruebas,indican,13,Plur,Plur,Fin,3,2,1,12,train
"Una de estas llamadas , dirigida al entrenador del equipo de fútbol Universitatea de Craiova , Sorin Sichitiu , se comprobó que fue hecha desde un teléfono de la filial local del Banco Popular Rumano , cuyo director ha sido ya destituido hasta el fin de las investigaciones .","Una de estas llamadas , dirigida al entrenador del equipo de fútbol Universitatea de Craiova , Sorin Sichitiu , se comprobó",Una,comprobó,20,Sing,Sing,Fin,3,4,1,20,train
"Las reservas de oro y divisas de Rusia subieron 800 millones de dólares y el 26 de mayo equivalían a 19.100 millones de dólares , informó hoy un comunicado del Banco Central .",Las reservas de oro y divisas de Rusia subieron,reservas,subieron,8,Plur,Plur,Fin,3,2,1,7,train
"Las reservas de oro y divisas de Rusia subieron 800 millones de dólares y el 26 de mayo equivalían a 19.100 millones de dólares , informó hoy un comunicado del Banco Central .","Las reservas de oro y divisas de Rusia subieron 800 millones de dólares y el 26 de mayo equivalían a 19.100 millones de dólares , informó",comunicado,informó,25,Sing,Sing,Fin,3,0,0,3,train
Los activos en divisas en poder del Banco Central y el Ministerio de Finanzas se calculan en dólares estadounidenses y su valor depende del cambio oficial rublo-dólar que establece el Banco Central .,Los activos en divisas en poder del Banco Central y el Ministerio de Finanzas se calculan,activos,calculan,15,Plur,Plur,Fin,3,2,1,14,train
Los activos en divisas en poder del Banco Central y el Ministerio de Finanzas se calculan en dólares estadounidenses y su valor depende del cambio oficial rublo-dólar que establece el Banco Central .,Los activos en divisas en poder del Banco Central y el Ministerio de Finanzas se calculan en dólares estadounidenses y su valor depende,valor,depende,22,Sing,Sing,Fin,3,0,0,1,train
Las reservas en oro se valoran en base a 300 dólares estadounidenses por cada onza troy de oro .,Las reservas en oro se valoran,reservas,valoran,5,Plur,Plur,Fin,3,1,1,4,train
"Esta opinión fue corroborada por el presidente de Pimec-Sefes , Josep González , quien subrayó que esta falta de mano de obra , tanto cualificada como no , comenzó en las comarcas de Lérida pero ya ha llegado a todas las provincias catalanas .","Esta opinión fue corroborada por el presidente de Pimec-Sefes , Josep González , quien subrayó que esta falta de mano de obra , tanto cualificada como no , comenzó",falta,comenzó,28,Sing,Sing,Fin,3,2,0,11,train
"Por su parte , la ministra Anna Birulés animó a las pymes a invertir en Investigación y Desarrollo y mostró a los empresarios presentes la disposición del Gobierno a facilitar este camino .","Por su parte , la ministra Anna Birulés animó",ministra,animó,8,Sing,Sing,Fin,3,0,0,3,train
"Sin embargo , los abogados de la empresa indicaron una vez más que proyectan insistir en las apelaciones para impedir que esos remedios "" extremos y sin justificación "" se lleven a efecto .","Sin embargo , los abogados de la empresa indicaron",abogados,indicaron,8,Plur,Plur,Fin,3,1,1,4,train
"Sin embargo , los abogados de la empresa indicaron una vez más que proyectan insistir en las apelaciones para impedir que esos remedios "" extremos y sin justificación "" se lleven a efecto .","Sin embargo , los abogados de la empresa indicaron una vez más que proyectan insistir en las apelaciones para impedir que esos remedios "" extremos y sin justificación "" se lleven",remedios,lleven,30,Plur,Plur,Fin,3,1,1,8,train
"La semana pasada el Departamento de Justicia y los gobiernos de 17 de los 19 estados que demandaron a Microsoft en 1998 presentaron al juez una versión ajustada de sus propuestas de solución judicial , entre las que figura la división de la firma en dos compañías .","La semana pasada el Departamento de Justicia y los gobiernos de 17 de los 19 estados que demandaron a Microsoft en 1998 presentaron al juez una versión ajustada de sus propuestas de solución judicial , entre las que figura",división,figura,38,Sing,Sing,Fin,3,0,0,2,train
"Pero el juez , que el 3 de abril dictaminó que Microsoft incurrió en prácticas de monopolio , opinó que las medidas exigidas por el Gobierno no son bastante severas y se manifestó en favor de otro planteamiento que dividiría a la empresa en tres compañías .","Pero el juez , que el 3 de abril dictaminó que Microsoft incurrió en prácticas de monopolio , opinó",juez,opinó,18,Sing,Sing,Fin,3,2,1,16,train
Los abogados de Microsoft aseguran que la división de la firma disminuiría gravemente su capacidad para competir en el mercado de los programas informáticos .,Los abogados de Microsoft aseguran,abogados,aseguran,4,Plur,Plur,Fin,3,0,0,3,train
Los abogados de Microsoft aseguran que la división de la firma disminuiría gravemente su capacidad para competir en el mercado de los programas informáticos .,Los abogados de Microsoft aseguran que la división de la firma disminuiría,división,disminuiría,11,Sing,Sing,Fin,1,1,0,4,train
"El letrado John Warden considera que la propuesta del Gobierno convertiría a Microsoft en "" la nica compañía del mundo que no ganará , no podrá ganar , la próxima ronda de competencia "" en la industria de los programas informáticos .",El letrado John Warden considera,letrado,considera,4,Sing,Sing,Fin,3,0,0,3,train
"El letrado John Warden considera que la propuesta del Gobierno convertiría a Microsoft en "" la nica compañía del mundo que no ganará , no podrá ganar , la próxima ronda de competencia "" en la industria de los programas informáticos .",El letrado John Warden considera que la propuesta del Gobierno convertiría,propuesta,convertiría,10,Sing,Sing,Fin,1,0,0,3,train
El consejo de Telefónica y las amenazas con cierres parciales de las gasolineras son las principales noticias con las que abren hoy los diarios económicos .,El consejo de Telefónica y las amenazas con cierres parciales de las gasolineras son las principales noticias con las que abren,diarios,abren,20,Plur,Plur,Fin,3,0,0,3,train
"EXPANSION titula en primera "" El Consejo de Telefónica avala la operación de Terra y Lycos "" , "" Las gasolineras amenazan con la huelga "" y señala que "" El Ibex cierra otro mal mes con una caída acumulada del 6,8 % "" .","EXPANSION titula en primera "" El Consejo de Telefónica avala la operación de Terra y Lycos "" , "" Las gasolineras amenazan",gasolineras,amenazan,21,Plur,Plur,Fin,3,0,0,1,train
"En el editorial señala los cambios de la bolsas española hacia modelos más europeos y considera estos cambios lógicos , pues "" resulta razonable que las Bolsas europeas unifiquen sus normas de contratación "" , ya que éstas supondrán "" una ventaja para gestores , inversores y operadores "" .","En el editorial señala los cambios de la bolsas española hacia modelos más europeos y considera estos cambios lógicos , pues "" resulta razonable que las Bolsas europeas unifiquen sus normas de contratación "" , ya que éstas supondrán",éstas,supondrán,38,Plur,Plur,Fin,3,0,0,1,train
"En su editorial , el diario califica de halagüeñas las previsiones del informe de la OCDE , pues "" el déficit se puede reducir este mismo año 2000 al 0,5 % del PIB , todo un récord "" .","En su editorial , el diario califica",diario,califica,6,Sing,Sing,Fin,3,0,0,1,train
"La patronal francesa presentó hoy , tras una maratoniana negociación de trece horas , un nuevo texto sobre la reforma del seguro de desempleo que ha despertado el interés de cuatro de las cinco grandes centrales sindicales .",La patronal francesa presentó,patronal,presentó,3,Sing,Sing,Fin,3,0,0,2,train
"El documento propone que el "" Contrato ayuda para regresar al empleo ( Care ) "" afecte a las personas que engrosen las listas del paro "" a partir de 1 de enero del 2001 "" .",El documento propone,documento,propone,2,Sing,Sing,Fin,3,0,0,1,train
"La patronal pretende formalizar así el compromiso recíproco del régimen de indemnización y los demandantes de empleo en "" el Care , cuya firma da derecho a cobrar el subsidio del paro y a los servicios que facilitan el regreso al empleo "" .",La patronal pretende,patronal,pretende,2,Sing,Sing,Fin,3,0,0,1,train
"La patronal pretende formalizar así el compromiso recíproco del régimen de indemnización y los demandantes de empleo en "" el Care , cuya firma da derecho a cobrar el subsidio del paro y a los servicios que facilitan el regreso al empleo "" .","La patronal pretende formalizar así el compromiso recíproco del régimen de indemnización y los demandantes de empleo en "" el Care , cuya firma da",firma,da,24,Sing,Sing,Fin,3,0,0,1,train
El carácter obligatorio del CARE y las sanciones que comporta su incumplimiento son algunos de los puntos más contestados por los sindicatos .,El carácter obligatorio del CARE y las sanciones que comporta,incumplimiento,comporta,9,Sing,Sing,Fin,3,0,0,2,train
Añadió que esta situación permitirá a España abrir la competencia a operadores de servicios móviles que utilicen la red de otras empresas de telecomunicaciones con licencias de móvil antes que en Europa .,Añadió que esta situación permitirá,situación,permitirá,4,Sing,Sing,Fin,3,0,0,1,train
"El embajador de Ecuador en Perú , Horacio Sevilla , confirmó hoy que el presidente de su país , Gustavo Noboa , asistirá a la XII Cumbre de Jefes de Estados Andinos que se celebrará en Lima el 9 y 10 de junio .","El embajador de Ecuador en Perú , Horacio Sevilla , confirmó",embajador,confirmó,10,Sing,Sing,Fin,3,0,0,9,train
"El embajador de Ecuador en Perú , Horacio Sevilla , confirmó hoy que el presidente de su país , Gustavo Noboa , asistirá a la XII Cumbre de Jefes de Estados Andinos que se celebrará en Lima el 9 y 10 de junio .","El embajador de Ecuador en Perú , Horacio Sevilla , confirmó hoy que el presidente de su país , Gustavo Noboa , asistirá",presidente,asistirá,22,Sing,Sing,Fin,3,1,0,8,train
"Sevilla dijo que "" el presidente del Ecuador , el doctor Gustavo Noboa Bejarano estará la próxima semana aquí en Lima para participar en la reunión de la Comunidad Andina "" .","Sevilla dijo que "" el presidente del Ecuador , el doctor Gustavo Noboa Bejarano estará",presidente,estará,14,Sing,Sing,Fin,3,1,0,9,train
"A esa cita , indicó , acudirán además los presidentes Hugo Banzer , de Bolivia , Andrés Pastrana , de Colombia , Hugo Chávez , de Venezuela y Alberto Fujimori , de Perú , que es el anfitrión .","A esa cita , indicó , acudirán",presidentes,acudirán,6,Plur,Plur,Fin,3,0,0,3,train
Sevilla expresó que en Lima estarán los cinco mandatarios andinos conversando sobre el proceso de integración que impulsan sus países desde hace más de 30 años .,Sevilla expresó que en Lima estarán,mandatarios,estarán,5,Plur,Plur,Fin,3,0,0,3,train
"El empresario fiyiano George Speight , cabecilla de una intentona golpista , salió hoy del Parlamento , donde tiene retenidas a unas treinta personas , para reunirse reunir se con los militares y negociar una salida a la crisis que atraviesa Fiyi desde hace 14 días .","El empresario fiyiano George Speight , cabecilla de una intentona golpista , salió",empresario,salió,12,Sing,Sing,Fin,3,2,0,11,train
"Los golpistas afirman que el autoproclamado Gobierno que formó Speight el 20 de mayo tiene "" el mandato del pueblo "" , según la fuente .",Los golpistas afirman,golpistas,afirman,2,Plur,Plur,Fin,3,0,0,1,train
"Por parte de los militares , los negociadores de Binimarama pondrán sobre la mesa el tema de los rehenes y cuándo tendrá lugar su liberación .","Por parte de los militares , los negociadores de Binimarama pondrán",negociadores,pondrán,10,Plur,Plur,Fin,3,0,0,3,train
"Por parte de los militares , los negociadores de Binimarama pondrán sobre la mesa el tema de los rehenes y cuándo tendrá lugar su liberación .","Por parte de los militares , los negociadores de Binimarama pondrán sobre la mesa el tema de los rehenes y cuándo tendrá",liberación,tendrá,21,Sing,Sing,Fin,3,0,0,3,train
"Ayer , el régimen de Binimarama , que recibió las riendas del país del presidente Kamisese Mara el lunes pasado , propuso sin éxito a Speight establecer un gobierno militar provisional que elabore una nueva Constitución y convoque elecciones democráticas en un plazo de unos tres años .","Ayer , el régimen de Binimarama , que recibió las riendas del país del presidente Kamisese Mara el lunes pasado , propuso",régimen,propuso,21,Sing,Sing,Fin,3,3,1,18,train
"El primer ministro israelí , Ehud Barak , llegó hoy jueves a Lisboa , donde se entrevistará con el presidente estadounidense , Bill Clinton , reunión que estaba prevista para esta noche en Berlín , segunda etapa del viaje del gobernante estadounidense .","El primer ministro israelí , Ehud Barak , llegó",ministro,llegó,8,Sing,Sing,Fin,3,0,0,6,train
"El avión de Barak , procedente de Israel , aterrizó a las 8.15 hora local ( 07.15 gmt ) , en la base aérea de Figo Maduro , anexa al aeropuerto internacional de Lisboa .","El avión de Barak , procedente de Israel , aterrizó",avión,aterrizó,9,Sing,Sing,Fin,3,0,0,8,train
"El primer ministro israelí partió , en medio de fuertes medidas de seguridad , hacia el Palacio de Sao Bento para reunirse reunir se con su homólogo portugués , Antonio Guterres , que preside este semestre el Consejo Europeo .",El primer ministro israelí partió,ministro,partió,4,Sing,Sing,Fin,3,0,0,2,train
La decisión de prolongar o frenar al PRI está en más de 58 millones de mexicanos que han sido inscritos en el padrón electoral para que puedan votar en los comicios del 2 de julio próximo .,La decisión de prolongar o frenar al PRI está,decisión,está,8,Sing,Sing,Fin,3,0,0,7,train
"Cuauhtémoc Cárdenas , líder del Partido de la Revolución Democrática ( PRD ) , quien por tercera vez busca la presidencia , aparece de tercero en las intenciones de votos , mientras que los restantes tres candidatos apenas superan juntos el dos por ciento .","Cuauhtémoc Cárdenas , líder del Partido de la Revolución Democrática ( PRD ) , quien por tercera vez busca la presidencia , aparece de tercero en las intenciones de votos , mientras que los restantes tres candidatos apenas superan",candidatos,superan,38,Plur,Plur,Fin,3,0,0,2,train
"Los observadores temen que las presiones políticas y la compra o coacción del voto , puedan incidir a favor del PRI , principalmente en las zonas rurales , aunque admiten que "" es difícil comprobarlo comprobar lo "" .",Los observadores temen,observadores,temen,2,Plur,Plur,Fin,3,0,0,1,train
"Para las elecciones , se espera la llegada de más de 450 observadores extranjeros procedentes de unos 21 países , lo mismo que de diversos organismos internacionales .","Para las elecciones , se espera",llegada,espera,5,Sing,Sing,Fin,3,0,0,2,train
"La "" guerra "" de palabras ha entretenido a muchos mexicanos , mientras que otros exigen que en vez de insultarse insultar se , profundicen en sus programas de gobierno en caso de ganar la presidencia .","La "" guerra "" de palabras ha entretenido a muchos mexicanos , mientras que otros exigen",otros,exigen,15,Plur,Plur,Fin,3,0,0,1,train
"El 25 de abril pasado , los seis candidatos a la presidencia participaron en un debate televisivo a nivel nacional que , según las encuestas de opinión , fue ganado por Fox .","El 25 de abril pasado , los seis candidatos a la presidencia participaron",candidatos,participaron,12,Plur,Plur,Fin,3,1,1,4,train
"Un segundo debate se celebró el pasado 26 de mayo pero únicamente con la participación de Labastida , Fox y Cárdenas .",Un segundo debate se celebró,debate,celebró,4,Sing,Sing,Fin,3,0,0,2,train
"Este también lo ganó Fox , según la mayoría de las encuestas difundidas por empresas consultoras profesionales , aunque algunos medios de prensa no ocultaron su afecto a los diferentes candidatos y los declararon ganadores por igual .","Este también lo ganó Fox , según la mayoría de las encuestas difundidas por empresas consultoras profesionales , aunque algunos medios de prensa no ocultaron",medios,ocultaron,24,Plur,Plur,Fin,3,1,1,4,train
"A un mes de las elecciones , las dudas sobre quien las ganará no han sido despejadas , lo que en parte obedece a que algunos medios y los mismos partidos falsean los sondeos de opinión .","A un mes de las elecciones , las dudas sobre quien las ganará no han sido despejadas , lo que en parte obedece a que algunos medios y los mismos partidos falsean",medios,falsean,31,Plur,Plur,Fin,3,1,0,5,train
"Hace dos semanas , el escritor peruano Mario Vargas Llosa comentó en México que Vicente Fox representa la única alternativa de oposición para poner fin a 71 años del PRI en el poder .","Hace dos semanas , el escritor peruano Mario Vargas Llosa comentó",escritor,comentó,10,Sing,Sing,Fin,3,0,0,5,train
"El sucesor del actual presidente de méxico , Ernesto Zedillo , gobernará por un período de seis años , que comenzará contar a partir del 1 de diciembre próximo .","El sucesor del actual presidente de méxico , Ernesto Zedillo , gobernará",sucesor,gobernará,11,Sing,Sing,Fin,3,1,0,10,train
"El primer presidente de la Bulgaria postcomunista , Pétar Mladénov , falleció anoche a los 64 años , informó hoy , jueves , la Radio Nacional búlgara .","El primer presidente de la Bulgaria postcomunista , Pétar Mladénov , falleció",presidente,falleció,11,Sing,Sing,Fin,3,0,0,9,train
"La vicelehendakari , Idoia Zenarruzabeitia , reiteró hoy la acusación al ministerio de Interior de "" ocultar información "" sobre ETA al Gobierno Vasco , pese a que ayer el ministro Jaime Mayor Oreja aseguró en el Congreso que se había facilitado la información conveniente .","La vicelehendakari , Idoia Zenarruzabeitia , reiteró",vicelehendakari,reiteró,6,Sing,Sing,Fin,3,0,0,5,train
"La vicelehendakari , Idoia Zenarruzabeitia , reiteró hoy la acusación al ministerio de Interior de "" ocultar información "" sobre ETA al Gobierno Vasco , pese a que ayer el ministro Jaime Mayor Oreja aseguró en el Congreso que se había facilitado la información conveniente .","La vicelehendakari , Idoia Zenarruzabeitia , reiteró hoy la acusación al ministerio de Interior de "" ocultar información "" sobre ETA al Gobierno Vasco , pese a que ayer el ministro Jaime Mayor Oreja aseguró",ministro,aseguró,34,Sing,Sing,Fin,3,0,0,4,train
"En una entrevista en Radio Euskadi recogida por Efe , la vicelehendakari afirmó que el Gobierno Vasco "" aún no ha recibido "" del ministerio la información sobre el comando "" Basurde "" de ETA pese a haberla haber la solicitado oficialmente en dos ocasiones .","En una entrevista en Radio Euskadi recogida por Efe , la vicelehendakari afirmó",vicelehendakari,afirmó,12,Sing,Sing,Fin,3,0,0,1,train
"La vicelehendakari sostuvo que el Partido Popular mantiene una "" dinámica de deterioro y deslegitimación "" de las instituciones vascas , cuyo "" colofón "" fueron los insultos del parlamentario Ricardo Hueso al lehendakari , Juan José Ibarretxe , en el pleno del pasado viernes .",La vicelehendakari sostuvo,vicelehendakari,sostuvo,2,Sing,Sing,Fin,3,0,0,1,train
"La vicelehendakari reconoció que el enfrentamiento entre nacionalistas y populares está afectando a las relaciones institucionales entre los Gobiernos vasco y central , en las que únicamente "" se guardan las formas "" , de lo que responsabilizó al PP .",La vicelehendakari reconoció,vicelehendakari,reconoció,2,Sing,Sing,Fin,3,0,0,1,train
"Ayllón ha presentado un escrito con esta petición , firmado por él mismo y otros senadores del PSOE que pertenecen a las circunscripciones por las que discurrirá el trazado del futuro AVE , informó hoy en una nota de prensa el Grupo Socialista en el Senado .","Ayllón ha presentado un escrito con esta petición , firmado por él mismo y otros senadores del PSOE que pertenecen a las circunscripciones por las que discurrirá",trazado,discurrirá,26,Sing,Sing,Fin,3,0,0,2,train
"El doctor Bhagat Ram , médico privado del depuesto primer ministro fiyiano , Mehnedra Chaudhry , dijo que varios de los rehenes llevaban días con molestias y les ha dado algo para que descansasen , según Radio Fiyi .","El doctor Bhagat Ram , médico privado del depuesto primer ministro fiyiano , Mehnedra Chaudhry , dijo",doctor,dijo,16,Sing,Sing,Fin,3,2,0,15,train
"El doctor Bhagat Ram , médico privado del depuesto primer ministro fiyiano , Mehnedra Chaudhry , dijo que varios de los rehenes llevaban días con molestias y les ha dado algo para que descansasen , según Radio Fiyi .","El doctor Bhagat Ram , médico privado del depuesto primer ministro fiyiano , Mehnedra Chaudhry , dijo que varios de los rehenes llevaban",varios,llevaban,22,Plur,Plur,Fin,3,1,0,4,train
"Por su parte , un grupo médico de la Cruz Roja manifestó que lo que más afectaba a los cautivos , entre los que se encuentran cinco mujeres , es el ambiente deprimente en el que viven .","Por su parte , un grupo médico de la Cruz Roja manifestó",grupo,manifestó,11,Sing,Sing,Fin,3,0,0,6,train
"Por su parte , un grupo médico de la Cruz Roja manifestó que lo que más afectaba a los cautivos , entre los que se encuentran cinco mujeres , es el ambiente deprimente en el que viven .","Por su parte , un grupo médico de la Cruz Roja manifestó que lo que más afectaba a los cautivos , entre los que se encuentran",mujeres,encuentran,25,Plur,Plur,Fin,3,0,0,2,train
"Todos ellos , según los médicos , sufren porque la jefatura del Estado cediese ante los golpistas y disolviese el gobierno que formaban , que había sido elegido democráticamente en mayo de 1999 .","Todos ellos , según los médicos , sufren",ellos,sufren,7,Plur,Plur,Fin,3,0,0,6,train
"Todos ellos , según los médicos , sufren porque la jefatura del Estado cediese ante los golpistas y disolviese el gobierno que formaban , que había sido elegido democráticamente en mayo de 1999 .","Todos ellos , según los médicos , sufren porque la jefatura del Estado cediese",jefatura,cediese,13,Sing,Sing,Fin,1,0,0,3,train
"El empresario fiyiano George Speight encabeza este "" golpe de Estado civil "" en favor de la comunidad de nativos fiyianos , como ha definido su acción .",El empresario fiyiano George Speight encabeza,empresario,encabeza,5,Sing,Sing,Fin,3,0,0,4,train
"Clinton y Barak se reunieron hoy jueves en el hotel lisboeta donde se hospeda el primero de ellos , en un nuevo intento por parte de Washington de hacer avanzar el proceso y lograr un acuerdo marco sobre el estatuto final de los territorios palestinos .",Clinton y Barak se reunieron hoy jueves en el hotel lisboeta donde se hospeda,primero,hospeda,13,Sing,Sing,Fin,3,0,0,2,train
"Fuentes políticas israelíes indicaron que Barak se quejará ante Clinton de la actitud que mantiene en las negociaciones el líder palestino , Yasser Arafat , a quien Israel culpa del bloqueo , en parte por aumentar sus exigencias tras la retirada israelí del Líbano .",Fuentes políticas israelíes indicaron,Fuentes,indicaron,3,Plur,Plur,Fin,3,0,0,3,train
"Fuentes políticas israelíes indicaron que Barak se quejará ante Clinton de la actitud que mantiene en las negociaciones el líder palestino , Yasser Arafat , a quien Israel culpa del bloqueo , en parte por aumentar sus exigencias tras la retirada israelí del Líbano .",Fuentes políticas israelíes indicaron que Barak se quejará ante Clinton de la actitud que mantiene,líder,mantiene,14,Sing,Sing,Fin,3,0,0,5,train
"El presidente estadounidense habló por teléfono este miércoles con Arafat , para conocer su punto de vista de la situación .",El presidente estadounidense habló,presidente,habló,3,Sing,Sing,Fin,3,0,0,2,train
"El presidente estadounidense dijo el miércoles en Lisboa que la retirada israelí abre "" una nueva situación "" que aumenta el coste de no lograr un acuerdo rápidamente , aunque también hace crecer los beneficios de lograr",El presidente estadounidense dijo,presidente,dijo,3,Sing,Sing,Fin,3,0,0,2,train
"El presidente estadounidense dijo el miércoles en Lisboa que la retirada israelí abre "" una nueva situación "" que aumenta el coste de no lograr un acuerdo rápidamente , aunque también hace crecer los beneficios de lograr",El presidente estadounidense dijo el miércoles en Lisboa que la retirada israelí abre,retirada,abre,12,Sing,Sing,Fin,3,0,0,2,train
